id,qname,heading,text,type,diagram,website,updated
,Location,Location,"A location can be an identifiable geographic place (ISO 19112), but it can also be a non-geographic place such as a directory, row, or column. As such, there are numerous ways in which location can be expressed, such as by a coordinate, address, landmark, and so forth.",Class,http://www.w3.org/ns/prov/diagrams/Location.dot.svg,http://www.w3.org/ns/prov/Location,2026-07-24T11:10:30.459634
,EmptyCollection,EmptyCollection,An empty collection is a collection without members.,Class,http://www.w3.org/ns/prov/diagrams/EmptyCollection.dot.svg,http://www.w3.org/ns/prov/EmptyCollection,2026-07-24T11:10:30.459634
,Plan,Plan,A plan is an entity that represents a set of actions or steps intended by one or more agents to achieve some goals.,Class,http://www.w3.org/ns/prov/diagrams/Plan.dot.svg,http://www.w3.org/ns/prov/Plan,2026-07-24T11:10:30.459634
,Start,Start,"Start is when an activity is deemed to have been started by an entity, known as trigger. The activity did not exist before its start. Any usage, generation, or invalidation involving an activity follows the activity's start. A start may refer to a trigger entity that set off the activity, or to an activity, known as starter, that generated the trigger.",Class,http://www.w3.org/ns/prov/diagrams/Start.dot.svg,http://www.w3.org/ns/prov/Start,2026-07-24T11:10:30.459634
,Entity,Entity,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary. ",Class,http://www.w3.org/ns/prov/diagrams/Entity.dot.svg,http://www.w3.org/ns/prov/Entity,2026-07-24T11:10:30.459634
,Removal,Removal,"Removal is a derivation that describes the transformation of a dictionary into another, by removing one or more keys.",Class,http://www.w3.org/ns/prov/diagrams/Removal.dot.svg,http://www.w3.org/ns/prov/Removal,2026-07-24T11:10:30.459634
,Delegation,Delegation,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work.

For example, a student acted on behalf of his supervisor, who acted on behalf of the department chair, who acted on behalf of the university; all those agents are responsible in some way for the activity that took place but ",Class,http://www.w3.org/ns/prov/diagrams/Delegation.dot.svg,http://www.w3.org/ns/prov/Delegation,2026-07-24T11:10:30.459634
,Replace,Replace,Activity that identifies the replacement of a resource.,Class,http://www.w3.org/ns/prov/diagrams/Replace.dot.svg,http://www.w3.org/ns/prov/Replace,2026-07-24T11:10:30.459634
,SoftwareAgent,SoftwareAgent,A software agent is running software.,Class,http://www.w3.org/ns/prov/diagrams/SoftwareAgent.dot.svg,http://www.w3.org/ns/prov/SoftwareAgent,2026-07-24T11:10:30.459634
,Dictionary,Dictionary,"A dictionary is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the dictionary.",Class,http://www.w3.org/ns/prov/diagrams/Dictionary.dot.svg,http://www.w3.org/ns/prov/Dictionary,2026-07-24T11:10:30.459634
,RightsHolder,RightsHolder,Role with the function of owning or managing rights over a resource. The Agent assigned to this role is associated with a RightsAssignment Activity,Class,http://www.w3.org/ns/prov/diagrams/RightsHolder.dot.svg,http://www.w3.org/ns/prov/RightsHolder,2026-07-24T11:10:30.459634
,DirectQueryService,ProvenanceService,"Type for a generic provenance query service. Mainly for use in RDF provenance query service descriptions, to facilitate discovery in linked data environments.",Class,http://www.w3.org/ns/prov/diagrams/DirectQueryService.dot.svg,http://www.w3.org/ns/prov/DirectQueryService,2026-07-24T11:10:30.459634
,EntityInfluence,EntityInfluence,"EntityInfluence is the capacity of an entity to have an effect on the character, development, or behavior of another by means of usage, start, end, derivation, or other. ",Class,http://www.w3.org/ns/prov/diagrams/EntityInfluence.dot.svg,http://www.w3.org/ns/prov/EntityInfluence,2026-07-24T11:10:30.459634
,Revision,Revision,A revision is a derivation for which the resulting entity is a revised version of some original. The implication here is that the resulting entity contains substantial content from the original. Revision is a particular case of derivation.,Class,http://www.w3.org/ns/prov/diagrams/Revision.dot.svg,http://www.w3.org/ns/prov/Revision,2026-07-24T11:10:30.459634
,InstantaneousEvent,InstantaneousEvent,"The PROV data model is implicitly based on a notion of instantaneous events (or just events), that mark transitions in the world. Events include generation, usage, or invalidation of entities, as well as starting or ending of activities. This notion of event is not first-class in the data model, but it is useful for explaining its other concepts and its semantics.",Class,http://www.w3.org/ns/prov/diagrams/InstantaneousEvent.dot.svg,http://www.w3.org/ns/prov/InstantaneousEvent,2026-07-24T11:10:30.459634
,Modify,Modify,Activity that identifies the modification of a resource. ,Class,http://www.w3.org/ns/prov/diagrams/Modify.dot.svg,http://www.w3.org/ns/prov/Modify,2026-07-24T11:10:30.459634
,RightsAssignment,RightsAssignment,Activity that identifies the rights assignment of a resource.,Class,http://www.w3.org/ns/prov/diagrams/RightsAssignment.dot.svg,http://www.w3.org/ns/prov/RightsAssignment,2026-07-24T11:10:30.459634
,Association,Association,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity.",Class,http://www.w3.org/ns/prov/diagrams/Association.dot.svg,http://www.w3.org/ns/prov/Association,2026-07-24T11:10:30.459634
,Copyright,Copyright,Activity that identifies the Copyrighting activity associated to a resource.,Class,http://www.w3.org/ns/prov/diagrams/Copyright.dot.svg,http://www.w3.org/ns/prov/Copyright,2026-07-24T11:10:30.459634
,Communication,Communication,"Communication is the exchange of an entity by two activities, one activity using the entity generated by the other.",Class,http://www.w3.org/ns/prov/diagrams/Communication.dot.svg,http://www.w3.org/ns/prov/Communication,2026-07-24T11:10:30.459634
,Creator,Creator,Role with the function of creating a resource. The Agent assigned to this role is associated with a Create Activity,Class,http://www.w3.org/ns/prov/diagrams/Creator.dot.svg,http://www.w3.org/ns/prov/Creator,2026-07-24T11:10:30.459634
,AgentInfluence,AgentInfluence,"AgentInfluence is the capacity of an agent to have an effect on the character, development, or behavior of another by means of attribution, association, delegation, or other.",Class,http://www.w3.org/ns/prov/diagrams/AgentInfluence.dot.svg,http://www.w3.org/ns/prov/AgentInfluence,2026-07-24T11:10:30.459634
,KeyEntityPair,Key-Entity Pair,"A key-entity pair. Part of a prov:Dictionary through prov:hadDictionaryMember. The key is any RDF Literal, the value is a prov:Entity.",Class,http://www.w3.org/ns/prov/diagrams/KeyEntityPair.dot.svg,http://www.w3.org/ns/prov/KeyEntityPair,2026-07-24T11:10:30.459634
,Create,Create,Activity that identifies the creation of a resource,Class,http://www.w3.org/ns/prov/diagrams/Create.dot.svg,http://www.w3.org/ns/prov/Create,2026-07-24T11:10:30.459634
,Bundle,Bundle,"A bundle is a named set of provenance descriptions, and is itself an Entity, so allowing provenance of provenance to be expressed.",Class,http://www.w3.org/ns/prov/diagrams/Bundle.dot.svg,http://www.w3.org/ns/prov/Bundle,2026-07-24T11:10:30.459634
,Collection,Collection,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections.",Class,http://www.w3.org/ns/prov/diagrams/Collection.dot.svg,http://www.w3.org/ns/prov/Collection,2026-07-24T11:10:30.459634
,Usage,Usage,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity.",Class,http://www.w3.org/ns/prov/diagrams/Usage.dot.svg,http://www.w3.org/ns/prov/Usage,2026-07-24T11:10:30.459634
,Submit,Submit,"Activity that identifies the issuance (e.g., publication) of a resource. ",Class,http://www.w3.org/ns/prov/diagrams/Submit.dot.svg,http://www.w3.org/ns/prov/Submit,2026-07-24T11:10:30.459634
,PrimarySource,PrimarySource,"A primary source for a topic refers to something produced by some agent with direct experience and knowledge about the topic, at the time of the topic's study, without benefit from hindsight.

Because of the directness of primary sources, they 'speak for themselves' in ways that cannot be captured through the filter of secondary sources. As such, it is important for secondary sources to reference those primary sources from which they were derived, so that their reliability can be investigated.

",Class,http://www.w3.org/ns/prov/diagrams/PrimarySource.dot.svg,http://www.w3.org/ns/prov/PrimarySource,2026-07-24T11:10:30.459634
,Generation,Generation,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.,Class,http://www.w3.org/ns/prov/diagrams/Generation.dot.svg,http://www.w3.org/ns/prov/Generation,2026-07-24T11:10:30.459634
,Organization,Organization,"An organization is a social or legal institution such as a company, society, etc.",Class,http://www.w3.org/ns/prov/diagrams/Organization.dot.svg,http://www.w3.org/ns/prov/Organization,2026-07-24T11:10:30.459634
,Insertion,Insertion,"Insertion is a derivation that describes the transformation of a dictionary into another, by insertion of one or more key-entity pairs.",Class,http://www.w3.org/ns/prov/diagrams/Insertion.dot.svg,http://www.w3.org/ns/prov/Insertion,2026-07-24T11:10:30.459634
,Accept,Accept,"Activity that identifies the acceptance of a resource (e.g., an article in a conference)",Class,http://www.w3.org/ns/prov/diagrams/Accept.dot.svg,http://www.w3.org/ns/prov/Accept,2026-07-24T11:10:30.459634
,Role,Role,"A role is the function of an entity or agent with respect to an activity, in the context of a usage, generation, invalidation, association, start, and end.",Class,http://www.w3.org/ns/prov/diagrams/Role.dot.svg,http://www.w3.org/ns/prov/Role,2026-07-24T11:10:30.459634
,Publisher,Publisher,Role with the function of publishing a resource. The Agent assigned to this role is associated with a Publish Activity,Class,http://www.w3.org/ns/prov/diagrams/Publisher.dot.svg,http://www.w3.org/ns/prov/Publisher,2026-07-24T11:10:30.459634
,Person,Person,Person agents are people.,Class,http://www.w3.org/ns/prov/diagrams/Person.dot.svg,http://www.w3.org/ns/prov/Person,2026-07-24T11:10:30.459634
,Invalidation,Invalidation,"Invalidation is the start of the destruction, cessation, or expiry of an existing entity by an activity. The entity is no longer available for use (or further invalidation) after invalidation. Any generation or usage of an entity precedes its invalidation.",Class,http://www.w3.org/ns/prov/diagrams/Invalidation.dot.svg,http://www.w3.org/ns/prov/Invalidation,2026-07-24T11:10:30.459634
,ServiceDescription,ServiceDescription,"Type for a generic provenance query service. Mainly for use in RDF provenance query service descriptions, to facilitate discovery in linked data environments.",Class,http://www.w3.org/ns/prov/diagrams/ServiceDescription.dot.svg,http://www.w3.org/ns/prov/ServiceDescription,2026-07-24T11:10:30.459634
,Quotation,Quotation,"A quotation is the repeat of (some or all of) an entity, such as text or image, by someone who may or may not be its original author. Quotation is a particular case of derivation.",Class,http://www.w3.org/ns/prov/diagrams/Quotation.dot.svg,http://www.w3.org/ns/prov/Quotation,2026-07-24T11:10:30.459634
,Publish,Publish,Activity that identifies the publication of a resource,Class,http://www.w3.org/ns/prov/diagrams/Publish.dot.svg,http://www.w3.org/ns/prov/Publish,2026-07-24T11:10:30.459634
,Derivation,Derivation,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity.",Class,http://www.w3.org/ns/prov/diagrams/Derivation.dot.svg,http://www.w3.org/ns/prov/Derivation,2026-07-24T11:10:30.459634
,Contribute,"Contribute
",Activity that identifies any contribution of an agent to a resource. ,Class,http://www.w3.org/ns/prov/diagrams/Contribute.dot.svg,http://www.w3.org/ns/prov/Contribute,2026-07-24T11:10:30.459634
,Agent,Agent,"An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity. ",Class,http://www.w3.org/ns/prov/diagrams/Agent.dot.svg,http://www.w3.org/ns/prov/Agent,2026-07-24T11:10:30.459634
,Attribution,Attribution,"Attribution is the ascribing of an entity to an agent.

When an entity e is attributed to agent ag, entity e was generated by some unspecified activity that in turn was associated to agent ag. Thus, this relation is useful when the activity is not known, or irrelevant.",Class,http://www.w3.org/ns/prov/diagrams/Attribution.dot.svg,http://www.w3.org/ns/prov/Attribution,2026-07-24T11:10:30.459634
,ActivityInfluence,ActivityInfluence,"ActivitiyInfluence is the capacity of an activity to have an effect on the character, development, or behavior of another by means of generation, invalidation, communication, or other.",Class,http://www.w3.org/ns/prov/diagrams/ActivityInfluence.dot.svg,http://www.w3.org/ns/prov/ActivityInfluence,2026-07-24T11:10:30.459634
,End,End,"End is when an activity is deemed to have been ended by an entity, known as trigger. The activity no longer exists after its end. Any usage, generation, or invalidation involving an activity precedes the activity's end. An end may refer to a trigger entity that terminated the activity, or to an activity, known as ender that generated the trigger.",Class,http://www.w3.org/ns/prov/diagrams/End.dot.svg,http://www.w3.org/ns/prov/End,2026-07-24T11:10:30.459634
,Contributor,Contributor,Role with the function of having responsibility for making contributions to a resource. The Agent assigned to this role is associated with a Modify or Create Activities,Class,http://www.w3.org/ns/prov/diagrams/Contributor.dot.svg,http://www.w3.org/ns/prov/Contributor,2026-07-24T11:10:30.459634
,Influence,Influence,"Influence is the capacity of an entity, activity, or agent to have an effect on the character, development, or behavior of another by means of usage, start, end, generation, invalidation, communication, derivation, attribution, association, or delegation.",Class,http://www.w3.org/ns/prov/diagrams/Influence.dot.svg,http://www.w3.org/ns/prov/Influence,2026-07-24T11:10:30.459634
,EmptyDictionary,Empty Dictionary,An empty dictionary (i.e. has no members).,Class,http://www.w3.org/ns/prov/diagrams/EmptyDictionary.dot.svg,http://www.w3.org/ns/prov/EmptyDictionary,2026-07-24T11:10:30.459634
